species_id,nutrient_group,nutrient_core,nutrient_noncore,metal_core,metal_noncore,odds_ratio,fisher_p
s__Paenibacillus_durus_B--RS_GCF_000993825.1,N_genes,2,1,2,2,2.0,1.0
s__SKKK01_sp007121535--GB_GCA_007121535.1,N_genes,2,0,1,2,inf,0.4000000000000001
s__BM522_sp016931615--GB_GCA_016931615.1,N_genes,2,0,2,0,,1.0
s__Cereibacter_A_sp002407205--RS_GCF_002407205.1,N_genes,2,0,3,0,,1.0
s__Cupriavidus_basilensis_B--RS_GCF_000876015.1,N_genes,2,0,4,0,,1.0
s__VadinCA11_sp002498365--GB_GCA_002498365.1,N_genes,1,2,6,2,0.167,0.49090909090909085
s__DC0425bin3_sp002753665--GB_GCA_002753665.1,N_genes,2,0,2,0,,1.0
s__Sulfurospirillum_multivorans--RS_GCF_000568815.1,N_genes,3,0,3,0,,1.0
s__Kosakonia_arachidis--RS_GCF_900116535.1,N_genes,4,0,2,0,,1.0
s__Azospirillum_oryzae--RS_GCF_008364795.1,N_genes,2,0,2,1,inf,1.0
s__Methylomonas_koyamae--RS_GCF_019669905.1,N_genes,2,0,4,3,inf,0.5
s__Dehalobacter_sp009910795--GB_GCA_009910795.1,N_genes,2,0,3,3,inf,0.4642857142857143
s__JAEUMD01_sp020638035--GB_GCA_020638035.1,N_genes,1,1,1,1,1.0,1.0
s__JAMCVZ01_sp023476565--GB_GCA_023476565.1,N_genes,1,1,1,6,6.0,0.4166666666666667
s__XYC_sp018606805--GB_GCA_018606805.1,N_genes,1,1,2,0,0.0,1.0
s__Thiocapsa_sp009929855--GB_GCA_009929855.1,N_genes,0,2,4,1,0.0,0.14285714285714288
s__Oceanidesulfovibrio_marinus--RS_GCF_013085545.1,N_genes,2,0,2,0,,1.0
s__SLCP01_sp007125735--GB_GCA_007125735.1,N_genes,2,0,0,3,inf,0.10000000000000002
s__DTU019_sp002398825--GB_GCA_002398825.1,N_genes,1,3,0,5,inf,0.4444444444444445
s__Methylogaea_oryzae--RS_GCF_019669985.1,N_genes,2,0,1,2,inf,0.4000000000000001
s__Bradyrhizobium_sp018736105--RS_GCF_018736105.1,N_genes,0,2,2,1,0.0,0.4000000000000001
s__Clostridium_S_guangxiense--RS_GCF_021043395.1,N_genes,4,0,2,2,inf,0.42857142857142855
s__Bradyrhizobium_sp024199945--RS_GCF_024199945.1,N_genes,2,0,4,0,,1.0
s__Oryzomonas_japonica--RS_GCF_008802365.1,N_genes,2,0,2,0,,1.0
s__GWB2-47-37_sp021792185--GB_GCA_021792185.1,N_genes,0,2,3,2,0.0,0.4285714285714286
s__Paraburkholderia_phymatum--RS_GCF_000020045.1,N_genes,2,0,3,0,,1.0
s__JAJYXI01_sp021791055--GB_GCA_021791055.1,N_genes,0,2,1,4,0.0,1.0
s__FACHB-800_sp014698825--RS_GCF_014698825.1,N_genes,3,0,3,0,,1.0
